id,name,city,checked_on,audit,field,status,value,excerpt,source_url
L184,St. John's Bar & Grill,Sunnyvale,2026-09-17,partial,special,verified,Tuesday Santa Maria Tri Tip Sandwich lunch special,TRITIP TUESDAY: Santa Maria Tri Tip Sandwich,https://stjohnsgrill.com/
L184,St. John's Bar & Grill,Sunnyvale,2026-09-17,partial,price,verified,$14.50 regular 5oz; $16.95 half pound,Regular (5oz) $14.50 half pounder $16.95,https://stjohnsgrill.com/
L184,St. John's Bar & Grill,Sunnyvale,2026-09-17,partial,schedule,unknown,Tuesday confirmed; lunch cutoff unknown,,
L184,St. John's Bar & Grill,Sunnyvale,2026-09-17,partial,location,verified,"510 Lawrence Expy, Ste 110, Sunnyvale, CA 94085","510 Lawrence Expy. Ste.110 Sunnyvale, CA 94085",https://stjohnsgrill.com/
L184,St. John's Bar & Grill,Sunnyvale,2026-09-17,partial,hours,conflicting,Sun-Mon closed; Tue-Wed 11 AM-9 PM; Fri 11 AM-10 PM; Sat 11:30 AM-9 PM. Thursday closes 9 PM in footer / 10 PM in summer banner,,
L260,Sushi Roku,Palo Alto,2026-09-17,complete,special,verified,"Lunch Specials: sushi, donburi, fried rice and ramen",Lunch Specials,https://www.sushiroku.com/menu/lunch-specials-palo-alto/
L260,Sushi Roku,Palo Alto,2026-09-17,complete,price,verified,Entrees $16-$28; add-ons excluded,Fried Rice $16; Sushi “Fix” Nigiri/Sashimi $28,https://www.sushiroku.com/menu/lunch-specials-palo-alto/
L260,Sushi Roku,Palo Alto,2026-09-17,complete,schedule,verified,Monday-Friday 11:30 AM-3 PM,Monday-Friday 11:30AM-3:00PM,https://www.sushiroku.com/menu/lunch-specials-palo-alto/
L260,Sushi Roku,Palo Alto,2026-09-17,complete,location,verified,"180 El Camino Real, Palo Alto, CA 94304","180 El Camino Real, Palo Alto, CA 94304",https://www.sushiroku.com/location/palo-alto/
L260,Sushi Roku,Palo Alto,2026-09-17,complete,hours,verified,Sun-Thu 11:30 AM-9:30 PM; Fri-Sat 11:30 AM-10 PM,Sunday-Thursday | 11:30AM-9:30PM,https://www.sushiroku.com/location/palo-alto/
L553,Chungdam,Santa Clara,2026-09-17,complete,special,verified,Lunch BBQ For Two / For Three,Lunch BBQ For Two ($60),https://chungdamsv.com/lunch-menu
L553,Chungdam,Santa Clara,2026-09-17,complete,price,verified,$60 for two; $99 for three; upgrades +$35,Lunch BBQ For Three ($99),https://chungdamsv.com/lunch-menu
L553,Chungdam,Santa Clara,2026-09-17,complete,schedule,verified,Monday-Friday 11:30 AM-2:15 PM,Only Available Mondays-Fridays 11:30am-2:15pm,https://chungdamsv.com/lunch-menu
L553,Chungdam,Santa Clara,2026-09-17,complete,location,verified,"3180 El Camino Real, Santa Clara, CA 95051","3180 El Camino Real, Santa Clara, CA 95051",https://chungdamsv.com/lunch-menu
L553,Chungdam,Santa Clara,2026-09-17,complete,hours,verified,"Daily lunch 11:30 AM-2:30 PM (last call 2:15); dinner Sun-Thu 5-9 PM, Fri-Sat 5-10 PM",( Open 7 Days ),https://chungdamsv.com/
